"","Year","freqneg","MZNEG","freqpos","MZPOS","sent","MZ","Cluster"
"1",1900,0.00216943312869799,0.248803554564447,0.00779199128151536,0.835975393813542,0.00562255815281738,0.587171839249095,1
"2",1901,0.000166095712654417,-1.35780206727507,0.00105886016817191,-1.86310501244411,0.000892764455517492,-0.505302945169039,2
"3",1902,0.000158671391548104,-1.36375610973053,0.000793356957740519,-1.9695361068355,0.000634685566192416,-0.605779997104964,2
"4",1903,0.00111217210582486,-0.599082323019948,0.00376678087962703,-0.777592847159918,0.00265460877380217,-0.17851052413997,3
"5",1904,0.000233860642839306,-1.30345699443476,0.00168062563667569,-1.61386064677293,0.00144676499383638,-0.310403652338169,2
"6",1905,6.8686036128855e-05,-1.43592117625503,0.00130503468644825,-1.76442212514925,0.00123634865031939,-0.328500948894222,2
"7",1906,0.000549032857504857,-1.0507000460175,0.00147816538559,-1.69501998966296,0.000929132528085142,-0.644319943645459,2
"8",1907,0.000132654699816378,-1.38462057462951,0.000600437062326763,-2.04687104966122,0.000467782362510385,-0.662250475031711,2
"9",1908,0.000898935689456803,-0.770090373173783,0.00185161209947896,-1.54531806179742,0.000952676410022156,-0.775227688623632,2
"10",1909,0.00019803406185864,-1.33218864290988,0.00214236848737983,-1.4287638381581,0.00194433442552119,-0.0965751952482157,2
"11",1910,0.000114178277963212,-1.39943801026619,0.000791636060544935,-1.97022595526167,0.000677457782581723,-0.570787944995482,2
"12",1911,0.00013080444735121,-1.38610441154513,0.000510954872465664,-2.08274137823458,0.000380150425114454,-0.696636966689451,2
"13",1912,0.000818662300467731,-0.834466786753007,0.00570796955749569,0.000562848471972208,0.00488930725702796,0.835029635224979,3
"14",1913,0.000284400625681376,-1.26292571901831,0.00143148314926293,-1.71373329069181,0.00114708252358155,-0.4508075716735,2
"15",1914,0.000296119599415986,-1.25352751733075,0.00156285344136215,-1.66107146435864,0.00126673384194616,-0.407543947027891,2
"16",1915,0.000153068383300239,-1.36824952380953,0.00185808009728346,-1.54272526420474,0.00170501171398322,-0.17447574039521,2
"17",1916,0.00145653449576662,-0.322915888349571,0.00414955151311929,-0.624153280996952,0.00269301701735267,-0.301237392647382,3
