year	count(*)	sum(match_count)	sum(volume_count)
2001	652941	4067728291	107134889
2002	666994	4210736875	118145184
2003	663427	4009761266	109212982
2004	659932	4326696524	119446837
2005	659360	5301905288	144400705
2006	658151	4696106613	126908293
2007	635724	3301552649	85105561
2008	613713	3006274784	76729770

